"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","x19","x20","x21","x22","x23","gemeinden_n","pop_20_sum","pop20_MEDIAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","Tax_pp_2020","change_pc_bs_median","change_pc_flat_size","change_pc_livespace_pp","change_pc_income_tax_pp"
"892000","Gewaltkriminalität",7233,"Vulkaneifel","LK",67,110,15,22.4,0,0,62,92.5,69,62,7,24,34.8,2723642,NA,7233,"Vulkaneifel",60646,109,61606.3909,4.9748,789.5289,201.7984,121.8313,67.1864,7.1504,4.7072,0.2803,0.0152,35.0332,5.8572,-0.4011,7.7605,19.3787,34.5945
"892000","Gewaltkriminalität",7235,"Trier-Saarburg","LK",135,90,25,18.5,1,0,125,92.6,166,138,28,70,42.2,2723642,NA,7235,"Trier-Saarburg",149398,104,148563.3794,7.8335,1065.5588,166.5035,126.1851,68.5582,5.3939,6.0387,0.3179,0.0258,29.5913,6.7108,-3.2075,2.408,22.6158,21.5789
"892000","Gewaltkriminalität",7311,"Frankenthal (Pfalz)","KfS",181,371,26,14.4,0,1,151,83.4,192,161,31,71,37,2723642,NA,7311,"Frankenthal (Pfalz)",48762,1,46068.2588,21.0801,1409.8632,93.3435,92.42,61.64,3.24,7.12,0.2772,0.4491,30.578,NA,-4.4199,-10.0297,19.3853,NA
"892000","Gewaltkriminalität",7312,"Kaiserslautern","KfS",418,418,80,19.1,3,2,347,83,397,342,55,114,28.7,2723642,NA,7312,"Kaiserslautern",100030,1,107306.065,16.4474,1391.062,97.963,88.13,61.8934,4.64,6.52,0.2047,0.4274,28.2509,NA,1.8943,-15.6693,5.3802,NA
"892000","Gewaltkriminalität",7313,"Landau in der Pfalz","KfS",168,358,25,14.9,1,1,138,82.1,151,121,30,47,31.1,2723642,NA,7313,"Landau in der Pfalz",46881,1,50776.8756,20.5564,1679.0191,109.9007,96.12,62.4559,3.44,7.8,0.2299,0.3733,27.3114,NA,2.0649,-11.2044,15.3402,NA
"892000","Gewaltkriminalität",7314,"Ludwigshafen am Rhein","KfS",699,406,115,16.5,3,3,569,81.4,715,585,130,328,45.9,2723642,NA,7314,"Ludwigshafen am Rhein",172253,1,163011.7847,27.4772,1665.0377,80.3788,84.83,56.0903,3.24,7.31,0.2711,0.5186,25.4932,NA,0.6033,-9.9171,18.9432,NA
"892000","Gewaltkriminalität",7315,"Mainz","KfS",568,260,102,18,2,3,450,79.2,594,505,89,249,41.9,2723642,NA,7315,"Mainz",218578,1,213932.9632,36.5993,1675.9737,62.9119,81.04,53.1077,2.86,9.73,0.2136,0.5991,23.6013,NA,0.6334,-17.7316,1.4215,NA
"892000","Gewaltkriminalität",7316,"Neustadt an der Weinstraße","KfS",126,237,34,27,2,0,98,77.8,113,94,19,37,32.7,2723642,NA,7316,"Neustadt an der Weinstraße",53264,1,53522.9363,14.4989,1507.2229,130.3237,102.74,64.6453,4.8,6.85,0.2637,0.2523,33.3813,NA,2.2202,-7.4655,12.7358,NA
"892000","Gewaltkriminalität",7317,"Pirmasens","KfS",191,475,22,11.5,0,0,175,91.6,192,146,46,48,25,2723642,NA,7317,"Pirmasens",40231,1,38314.1908,12.3887,1479.8343,133.5799,91.06,67.8886,10.02,4.62,0.2066,0.2492,33.6064,NA,2.9359,-7.9737,22.1662,NA
"892000","Gewaltkriminalität",7318,"Speyer","KfS",221,437,50,22.6,1,0,195,88.2,212,185,27,123,58,2723642,NA,7318,"Speyer",50561,1,51279.8291,18.5792,1425.096,94.6652,92.86,65.8552,3.47,7.2,0.2401,0.3807,31.4013,NA,2.7307,-5.0944,30.3197,NA
"892000","Gewaltkriminalität",7319,"Worms","KfS",235,281,30,12.8,1,3,193,82.1,246,205,41,113,45.9,2723642,NA,7319,"Worms",83542,1,81666.9589,17.4369,1543.7002,115.0268,92.33,62.8159,4.17,6.91,0.2638,0.34,27.654,NA,-1.5721,-9.5439,16.8666,NA
"892000","Gewaltkriminalität",7320,"Zweibrücken","KfS",71,208,12,16.9,1,0,63,88.7,70,64,6,24,34.3,2723642,NA,7320,"Zweibrücken",34193,1,33185.8236,10.6837,1365.2932,142.6154,100.94,67.8616,6.12,5.18,0.2472,0.1865,32.5518,NA,5.2247,-3.9608,21.435,NA
"892000","Gewaltkriminalität",7331,"Alzey-Worms","LK",132,102,23,17.4,6,1,114,86.4,138,110,28,37,26.8,2723642,NA,7331,"Alzey-Worms",129687,69,128377.6962,9.9204,1303.3024,171.8748,125.0752,67.0841,4.586,6.0709,0.3308,0.0442,30.4963,7.9717,-7.863,1.6661,23.5104,14.7562
"892000","Gewaltkriminalität",7332,"Bad Dürkheim","LK",242,182,40,16.5,1,5,214,88.4,241,200,41,65,27,2723642,NA,7332,"Bad Dürkheim",132671,48,133586.5752,9.8969,1310.9439,161.4216,123.2273,68.6121,4.6773,6.3667,0.3044,0.055,33.553,9.8675,-3.1019,1.4379,20.2777,18.2686
